ID,SMILES,ST Gap,HL Gap
86,c1cc(-c2ncncn2)c2cccnc2c1,1.258,4.165248998
87,c1cc(-c2nccc3[nH]ccc23)c2cccnc2c1,1.1867,4.30076177
88,N#Cc1ccc(-c2cccc3ncccc23)c(C#N)c1,0.9743,4.331238538
89,c1cc(-c2cccc3scnc23)c2cccnc2c1,1.3296,4.47219359
90,N#Cc1ccc(-c2cccc3ncccc23)c(C#N)c1C#N,0.6831,3.995721976
91,c1cnc(-c2ccc(-c3cccc4ncccc34)cc2)nc1,1.2014,4.261849468
92,c1cc(-c2nc3nc4ncoc4cc3o2)c2cccnc2c1,1.2364,3.905652242
93,c1cc(-c2ccc3c(c2)[nH]c2ncccc23)c2cccnc2c1,1.1489,4.291509894
94,c1cc(-c2cccc3c2cnc2ccccc23)c2cccnc2c1,1.167,4.487976202
95,c1cnc2c(c1)-c1cc(-c3cccc4ncccc34)cnc1[SiH2:2]2,1.1857,4.467295538
96,c1cnc2nccc(-c3nnn[nH]3)c2c1,0.7091,4.562807552
97,c1cnc2nccc(-c3nccc4[nH]ccc34)c2c1,0.8903,4.274366712
98,c1cnc2ncc(-c3ccnc4ncccc34)cc2c1,0.8266,4.527160618
99,c1cnc2cc(-c3ccnc4ncccc34)cnc2c1,0.7971,4.49940499
100,c1cnc2nccc(-c3cncc4nccnc34)c2c1,0.6341,4.041437128
101,c1cc(-c2ccnc3ncccc23)c2ccsc2c1,0.8464,4.265931178
102,N#Cc1cc(C#N)c(-c2ccnc3ncccc23)c(C#N)c1,0.581,4.201168046
103,c1cnc2nccc(-c3c4ccoc4cc4ccoc34)c2c1,0.7757,3.995177748
104,c1cnc2nccc(-c3c4ncoc4cc4ncoc34)c2c1,0.8478,4.57287577
105,c1cnc2nccc(-c3nc4cc5ncoc5nc4o3)c2c1,0.826,4.014769956
106,c1cnc2nccc(-c3ccc4c(c3)[nH]c3cnccc34)c2c1,0.7449,4.101030094
107,CC(=O)c1ccc(C2=CC(C)c3ccccc32)cc1,1.0468,4.19735845
108,CC1C=C(c2cnc3ncccc3c2)c2ccccc21,0.9182,4.071369668
109,CC1C=C(c2cccc(C(F)(F)F)c2)c2ccccc21,1.59,4.742402792
110,CC1C=C(c2c3nc[nH]c3cc3[nH]cnc23)c2ccccc21,1.2454,4.202528616
