Index,SMILES,ST Gap,HL Gap,S1,T1
5283,CN(C)c1ccc2cc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc8cc(N(C)C)ccc8c7)cc6)ccnc45)cc3)ccc2c1,2.79,2.406304102,2.0188,-0.7712
5284,CN(C)c1cccc2c(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7cccc8c(N(C)C)cccc78)cc6)ccnc45)cc3)cccc12,0.9098,3.810684456,3.4275,2.5177
5285,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccnc3c2ccc2c(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)ccnc23)cc1,0.0063,3.123324492,2.6659,2.6596
5286,N#Cc1c(-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)c(C#N)c1C#N,0.0025,2.716241948,2.3253,2.3228
5287,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4nc5nc6nc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)cc7)[nH]c6nc5[nH]4)cc3)c12,0.2422,2.977743502,2.5789,2.3367
5288,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-n7c8c(C)cccc8c8cccc(C)c87)cc6)ccnc45)cc3)c12,2.0941,2.960872434,2.5989,0.5048
5289,CC1(C)c2ccccc2N(c2ccc(-c3ccnc4c3ccc3c(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)ccnc34)cc2)c2ccccc21,1.8306,2.750256198,2.3825,0.5519
5290,N#Cc1c(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)cc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c(C#N)c1C#N,0.0862,2.784542562,2.5141,2.4279
5291,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccnc4c3ccc3c(-c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5)ccnc34)cc2)cc1,2.415,3.218564392,2.9434,0.5284
5292,c1cc(-c2ccc(-c3ccc(-c4cc5c6c(c4)CCCN6CCC5)cc3)cc2)c2ccc3c(-c4ccc(-c5ccc(-c6cc7c8c(c6)CCCN8CCC7)cc5)cc4)ccnc3c2n1,0.4298,3.28305541,3.0165,2.5867
5293,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccnc3c2ccc2c(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)ccnc23)cc1,0.0063,3.123324492,2.6659,2.6596
5294,C[N](C)c1ccc(-c2ccc(-c3ccnc4c3ccc3c(-c5ccc(-c6ccc([N](C)C)s6)cc5)ccnc34)s2)cc1,0.7144,3.390268326,3.0281,2.3137
5295,c1cc(-c2ccc(-c3ccc(N4CCOCC4)s3)cc2)c2ccc3c(-c4ccc(-c5ccc(N6CCOCC6)cc5)s4)ccnc3c2n1,0.7343,3.329859018,3.0185,2.2842
5296,c1cc(-c2ccc(-c3ccc(-c4ccc(N5CCOCC5)cc4)s3)cc2)c2ccc3c(-c4ccc(-c5ccc(-c6ccc(N7CCOCC7)cc6)cc5)s4)ccnc3c2n1,0.8262,3.40006443,3.0768,2.2506
5297,c1ccc2c(c1)Oc1ccccc1[N]2c1ccc(-c2ccc(-c3ccnc4c3ccc3c(-c5ccc(-c6ccc([N]7c8ccccc8Oc8ccccc87)s6)cc5)ccnc34)s2)cc1,2.6726,2.209837794,1.896,-0.7766
5298,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccc(-c3ccc(-c4nc5nc6nc(-c7ccc(-c8ccc(-c9ccc(N%10c%11ccccc%11Oc%11ccccc%11%10)cc9)s8)cc7)[nH]c6nc5[nH]4)s3)cc2)cc1,0.1473,2.310519974,2.0854,1.9381
5299,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc(-c8ccc(N9c%10ccccc%10Oc%10ccccc%109)cc8)s7)cc6)ccnc45)s3)cc2)cc1,2.5317,1.97418707,1.7511,-0.7806
5300,O=C1C=C(c2ccc(-c3ccc(-n4ccc5ccccc54)s3)cc2)C(=O)C(c2ccc(-c3ccc(-n4ccc5ccccc54)cc3)s2)=C1,0.3976,2.013371486,1.697,1.2994
5301,N#Cc1cc(-c2ccc(-c3ccc(-n4ccc5ccccc54)s3)cc2)c(-c2ccc(-c3ccc(-n4ccc5ccccc54)cc3)s2)cc1C#N,0.4721,2.959783978,2.6329,2.1608
5302,N#Cc1cc(C#N)c(-c2ccc(-c3ccc(-n4ccc5ccccc54)cc3)s2)cc1-c1ccc(-c2ccc(-n3ccc4ccccc43)s2)cc1,0.4941,2.941824454,2.6206,2.1265
5303,O=C1NC(=O)c2c(-c3ccc(-c4ccc(-n5ccc6ccccc65)cc4)s3)ccc(-c3ccc(-c4ccc(-n5ccc6ccccc65)s4)cc3)c21,0.4576,2.966314714,2.6198,2.1622
5304,N#Cc1c(-c2ccc(-c3ccc(-n4ccc5ccccc54)s3)cc2)cc(-c2ccc(-c3ccc(-n4ccc5ccccc54)cc3)s2)c(C#N)c1C#N,0.3706,2.74563026,2.447,2.0764
5305,CN(C)c1ccc(-c2ccc(-c3ccc(-c4cnc5cc(-c6ccc(-c7ccc(-c8ccc(N(C)C)cc8)s7)cc6)cnc5c4)s3)cc2)cc1,0.5381,2.860190254,2.5684,2.0303
5306,CN(C)c1ccc(-c2ccc(-c3ccc(-c4nc5nc6nc(-c7ccc(-c8ccc(-c9ccc(N(C)C)cc9)s8)cc7)oc6nc5o4)s3)cc2)cc1,0.4731,2.62181839,2.3543,1.8812
5307,CN(C)c1ccc(-c2ccc(-c3ccc(-c4cnc5sc6ncc(-c7ccc(-c8ccc(-c9ccc(N(C)C)cc9)s8)cc7)cc6c5c4)s3)cc2)cc1,0.8185,3.27625256,3.0006,2.1821
5308,CN(C)c1ccc2cc(-c3ccc(-c4ccc(-c5ccnc6c5ccc5c(-c7ccc(-c8ccc(-c9ccc%10cc(N(C)C)ccc%10c9)s8)cc7)ccnc56)s4)cc3)ccc2c1,2.7113,2.243307816,1.9311,-0.7802
5309,CN(C)c1cccc2c(-c3ccc(-c4ccc(C5=CC(=O)C=C(c6ccc(-c7ccc(-c8cccc9c(N(C)C)cccc89)s7)cc6)C5=O)s4)cc3)cccc12,0.3687,1.938268022,1.6565,1.2878
5310,CN(C)c1cccc2c(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9c(N(C)C)cccc89)s7)cc6)c6c5C(=O)NC6=O)s4)cc3)cccc12,0.454,2.924137044,2.6073,2.1533
5311,CN(C)c1cccc2c(-c3ccc(-c4ccc(-c5cc(-c6ccc(-c7ccc(-c8cccc9c(N(C)C)cccc89)s7)cc6)c(C#N)c(C#N)c5C#N)s4)cc3)cccc12,0.2827,2.632158722,2.3685,2.0858
5312,CN(C)c1cccc2c(-c3ccc(-c4ccc(-c5ccnc6c5ccc5c(-c7ccc(-c8ccc(-c9cccc%10c(N(C)C)cccc9%10)s8)cc7)ccnc56)s4)cc3)cccc12,2.8005,2.44086258,2.0199,-0.7806
5313,c1cc(-c2ccc(-c3ccc(-c4cc5c6c(c4)CCCN6CCC5)s3)cc2)c2ccc3c(-c4ccc(-c5ccc(-c6cc7c8c(c6)CCCN8CCC7)cc5)s4)ccnc3c2n1,0.6444,3.03815281,2.778,2.1336
5314,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2ccc(-c3ccnc4c3ccc3c(-c5ccc(-c6ccc(N7c8ccccc8Oc8ccccc87)s6)cc5)ccnc34)s2)cc1,2.6726,2.209837794,1.896,-0.7766
5315,c1ccc(P(c2ccccc2)c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc(P(c8ccccc8)c8ccccc8)s7)cc6)ccnc45)s3)cc2)cc1,2.8201,2.49256424,2.0425,-0.7776
5316,O=c1c2ccccc2n(-c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc(-n8c9ccccc9c(=O)c9ccccc98)s7)cc6)ccnc45)s3)cc2)c2ccccc12,0.6503,3.497481242,3.0802,2.4299
5317,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6c7ccccc7c(-c7ccc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)s7)c7nsnc67)s5)s4)cc3)c12,0.9074,2.128475708,1.8052,0.8978
5318,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc6c(c5)C(=O)c5ccc(-c7ccc(-c8ccc(-n9c%10c(C)cccc%10c%10cccc(C)c%109)s8)cc7)cc5C6=O)s4)cc3)c12,0.0505,2.332289094,2.1087,2.0582
5319,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(C5=CC(=O)C=C(c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)C5=O)s4)cc3)c12,0.1857,1.684929888,1.4277,1.242
5320,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c6ocnc56)s4)cc3)c12,0.7314,3.113528388,2.7637,2.0323
5321,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c6nn[nH]c56)s4)cc3)c12,0.6367,3.116793756,2.7577,2.121
5322,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cc(C#N)c(C#N)cc5-c5ccc(-c6ccc(-n7c8c(C)cccc8c8cccc(C)c87)s6)cc5)s4)cc3)c12,0.1527,2.700187222,2.4078,2.2551
5323,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c(C#N)cc5C#N)s4)cc3)c12,0.141,2.671887366,2.3587,2.2177
5324,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c6nccnc56)s4)cc3)c12,0.6376,2.808488594,2.5319,1.8943
5325,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c6scnc56)s4)cc3)c12,0.7319,3.169039644,2.8083,2.0764
5326,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c6c5C(=O)NC6=O)s4)cc3)c12,0.32,2.797604034,2.5392,2.2192
5327,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cc(-c6ccc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)cc6)c(C#N)c(C#N)c5C#N)s4)cc3)c12,0.0018,2.460726902,2.1572,2.1554
5328,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5coc6nc7occ(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)c7nc56)s4)cc3)c12,0.5217,3.027540364,2.766,2.2443
5329,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5nc6nc7nc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)[nH]c7nc6[nH]5)s4)cc3)c12,0.6077,2.921688018,2.5916,1.9839
5330,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5nc6nc7oc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)nc7nc6o5)s4)cc3)c12,0.3556,2.581817632,2.2857,1.9301
5331,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5nc6nc7nc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)oc7nc6o5)s4)cc3)c12,0.278,2.656104754,2.3507,2.0727
5332,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cncc6c5[nH]c5c(-c7ccc(-c8ccc(-n9c%10c(C)cccc%10c%10cccc(C)c%109)s8)cc7)cncc56)s4)cc3)c12,0.576,3.443058442,2.9639,2.3879
5333,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cnc6oc7ncc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)cc7c6c5)s4)cc3)c12,0.5168,3.36605018,2.9525,2.4357
5334,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5cnc6sc7ncc(-c8ccc(-c9ccc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)s9)cc8)cc7c6c5)s4)cc3)c12,0.5374,3.36605018,2.9087,2.3713
5335,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4ccc(-c5c6ccccc6c(-c6ccc(-c7ccc(-c8ccc(N9c%10ccccc%10C(C)(C)c%10ccccc%109)s8)cc7)s6)c6nsnc56)s4)s3)cc2)c2ccccc21,0.8633,1.957588116,1.7708,0.9075
5336,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N7c8ccccc8C(C)(C)c8ccccc87)s6)cc5)c5nccnc45)s3)cc2)c2ccccc21,0.3553,2.541816874,2.2635,1.9082
5337,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6ccc(N7c8ccccc8C(C)(C)c8ccccc87)s6)cc5)c(F)c4F)s3)cc2)c2ccccc21,0.2131,2.806039568,2.4398,2.2267
5338,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4coc5nc6occ(-c7ccc(-c8ccc(N9c%10ccccc%10C(C)(C)c%10ccccc%109)s8)cc7)c6nc45)s3)cc2)c2ccccc21,0.3059,2.73338513,2.4751,2.1692
5339,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4nc5nc6nc(-c7ccc(-c8ccc(N9c%10ccccc%10C(C)(C)c%10ccccc%109)s8)cc7)[nH]c6nc5[nH]4)s3)cc2)c2ccccc21,0.3357,2.660730692,2.3271,1.9914
5340,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4nc5nc6nc(-c7ccc(-c8ccc(N9c%10ccccc%10C(C)(C)c%10ccccc%109)s8)cc7)oc6nc5o4)s3)cc2)c2ccccc21,0.0323,2.40276662,2.0917,2.0594
5341,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc(N8c9ccccc9C(C)(C)c9ccccc98)s7)cc6)ccnc45)s3)cc2)c2ccccc21,1.8326,2.700187222,2.3959,0.5633
5342,CC1(C)c2ccccc2N(c2ccc(-c3ccc(-c4cnc5sc6ncc(-c7ccc(-c8ccc(N9c%10ccccc%10C(C)(C)c%10ccccc%109)s8)cc7)cc6c5c4)s3)cc2)c2ccccc21,0.2638,3.116521642,2.6585,2.3947
5343,O=C1C=C(c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)cc2)C(=O)C(c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)s2)=C1,0.3596,1.900172062,1.6555,1.2959
5344,N#Cc1cc(-c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)cc2)c(-c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)s2)cc1C#N,0.4455,2.834339424,2.5763,2.1308
5345,N#Cc1cc(C#N)c(-c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)s2)cc1-c1ccc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1,0.4173,2.781821422,2.5408,2.1235
5346,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccc(-c4cnc5cc(-c6ccc(-c7ccc(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)s7)cc6)cnc5c4)s3)cc2)cc1,2.6632,2.38507921,1.984,-0.6792
5347,O=C1NC(=O)c2c(-c3ccc(-c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc4)s3)ccc(-c3ccc(-c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)s4)cc3)c21,0.442,2.889306452,2.6176,2.1756
